S 34f6fc,4 hit 
L 30c8ec,4 miss eviction 
S 34f3dc,4 hit 
L 30c8f0,4 hit 
S 34f4e8,4 miss eviction 
L 30c8f4,4 miss eviction 
S 34f5f4,4 hit 
L 30c8f8,4 hit 
S 34f700,4 miss eviction 
L 30c620,4 miss eviction 
S 34f800,4 miss eviction 
L 30c624,4 hit 
S 34f90c,4 miss eviction 
L 30c628,4 hit 
S 34fa18,4 miss eviction 
L 30c62c,4 hit 
S 34fb24,4 miss eviction 
L 30c714,4 miss eviction 
S 34f804,4 hit 
L 30c718,4 hit 
S 34f910,4 hit 
L 30c71c,4 hit 
S 34fa1c,4 hit 
L 30c720,4 miss eviction 
S 34fb28,4 miss eviction 
L 30c808,4 miss eviction 
S 34f808,4 miss eviction 
L 30c80c,4 miss eviction 
S 34f914,4 hit 
L 30c810,4 hit 
S 34fa20,4 miss eviction 
L 30c814,4 hit 
S 34fb2c,4 hit 
L 30c8fc,4 hit 
S 34f80c,4 miss eviction 
L 30c900,4 miss eviction 
S 34f918,4 miss eviction 
L 30c904,4 miss eviction 
S 34fa24,4 hit 
L 30c908,4 hit 
S 34fb30,4 hit 
L 30c920,4 miss eviction 
S 34c1a0,4 miss eviction 
L 30c924,4 hit 
S 34c2ac,4 miss eviction 
L 30c928,4 hit 
S 34c3b8,4 miss eviction 
L 30c92c,4 hit 
S 34c4c4,4 miss eviction 
L 30ca14,4 miss eviction 
S 34c1a4,4 hit 
L 30ca18,4 hit 
S 34c2b0,4 hit 
L 30ca1c,4 hit 
S 34c3bc,4 hit 
L 30ca20,4 miss eviction 
S 34c4c8,4 hit 
L 30cb08,4 miss eviction 
S 34c1a8,4 hit 
L 30cb0c,4 hit 
S 34c2b4,4 hit 
L 30cb10,4 hit 
S 34c3c0,4 miss eviction 
L 30cb14,4 hit 
S 34c4cc,4 hit 
L 30cbfc,4 miss eviction 
S 34c1ac,4 hit 
L 30cc00,4 miss eviction 
S 34c2b8,4 hit 
L 30cc04,4 hit 
S 34c3c4,4 hit 
L 30cc08,4 hit 
S 34c4d0,4 hit 
L 30c930,4 hit 
S 34c5d0,4 miss eviction 
L 30c934,4 hit 
S 34c6dc,4 miss eviction 
L 30c938,4 hit 
S 34c7e8,4 miss eviction 
L 30c93c,4 hit 
S 34c8f4,4 miss eviction 
L 30ca24,4 hit 
S 34c5d4,4 hit 
L 30ca28,4 hit 
S 34c6e0,4 miss eviction 
L 30ca2c,4 hit 
S 34c7ec,4 hit 
L 30ca30,4 hit 
S 34c8f8,4 hit 
L 30cb18,4 hit 
S 34c5d8,4 hit 
L 30cb1c,4 hit 
S 34c6e4,4 hit 
L 30cb20,4 miss eviction 
S 34c7f0,4 hit 
L 30cb24,4 hit 
S 34c8fc,4 hit 
L 30cc0c,4 hit 
S 34c5dc,4 hit 
L 30cc10,4 hit 
S 34c6e8,4 hit 
L 30cc14,4 hit 
S 34c7f4,4 hit 
L 30cc18,4 hit 
S 34c900,4 miss eviction 
L 30c940,4 miss eviction 
S 34ca00,4 miss eviction 
L 30c944,4 hit 
S 34cb0c,4 miss eviction 
L 30c948,4 hit 
S 34cc18,4 miss eviction 
L 30c94c,4 hit 
S 34cd24,4 miss eviction 
L 30ca34,4 hit 
S 34ca04,4 hit 
L 30ca38,4 hit 
S 34cb10,4 hit 
L 30ca3c,4 hit 
S 34cc1c,4 hit 
L 30ca40,4 miss eviction 
S 34cd28,4 hit 
L 30cb28,4 hit 
S 34ca08,4 hit 
L 30cb2c,4 hit 
S 34cb14,4 hit 
L 30cb30,4 hit 
S 34cc20,4 miss eviction 
L 30cb34,4 hit 
S 34cd2c,4 hit 
L 30cc1c,4 miss eviction 
S 34ca0c,4 hit 
L 30cc20,4 miss eviction 
S 34cb18,4 hit 
L 30cc24,4 hit 
S 34cc24,4 miss eviction 
L 30cc28,4 miss eviction 
S 34cd30,4 hit 
L 30c950,4 hit 
S 34ce30,4 miss eviction 
L 30c954,4 hit 
S 34cf3c,4 miss eviction 
L 30c958,4 hit 
S 34d048,4 miss eviction 
L 30c95c,4 hit 
S 34d154,4 miss eviction 
L 30ca44,4 hit 
S 34ce34,4 hit 
L 30ca48,4 hit 
S 34cf40,4 miss eviction 
